title,description,location,lat,lng,pubDate,guid,imgLink,actURL
Dirty Projectors,"The band takes its quirks of production, rhythm and rhyme and brilliantly arranges them to work behind the Tiny Desk.",Brooklyn,40.6781784,-73.9441579,"Tue, 04 Dec 2018 13:42:00 -0500",61b80ea4-63ff-473f-afb4-192fef7d0545,https://media.npr.org/assets/img/2018/12/04/dirtyprojectord_cpollack_wide-acb7c99b94bde8213a8ad39fe86fb1495a195731.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/11/20181130_ascvid_dirtyprojectorspodcast-n.mp4?orgId=1&p=510292&story=673311690&t=podcast&e=673311690&ft=pod&f=510292
Joey Alexander,No one in the NPR offices could have imagined how remarkable this 15-year old pianist would be at the Tiny Desk.,Bali,-8.3405389,115.0919509,"Fri, 30 Nov 2018 12:05:00 -0500",fc07e198-97f5-4bb8-9c99-9bd1119a960c,https://media.npr.org/assets/img/2018/11/30/joey_cpollack_wide-16812db502ab8316f90484bdf4b21a7a5d197647.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/11/20181129_ascvid_joeypodcast-n.mp4?orgId=1&p=510292&story=672219064&t=podcast&e=672219064&ft=pod&f=510292
The Innocence Mission,"The Innocence Mission, ever the most careful cultivators of quiet, encouraged us to come closer, to discover the ""thing beautiful enough"" in the moment it's delivered.",Lancaster,40.0378755,-76.3055144,"Thu, 29 Nov 2018 10:57:00 -0500",21f6ac4a-daa0-4a6f-bf1b-7ffd5f2cf2fd,https://media.npr.org/assets/img/2018/11/29/the-innocence-mission-cpollack_wide-9972890c7b0cf46dba37e9d0baad13b1439bb27e.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/11/20181127_ascvid_innocencemissionpodcast-n.mp4?orgId=1&p=510292&story=671872947&t=podcast&e=671872947&ft=pod&f=510292
Pedro The Lion,"No matter how dark or disastrous, there's always been an undercurrent of grace to the music of David Bazan. He returns to his Pedro the Lion moniker for this memorable Tiny Desk performance.",Seattle,47.6062095,-122.3320708,"Thu, 08 Nov 2018 10:48:00 -0500",3b08576a-a357-4e01-a29e-3b7393090dda,https://media.npr.org/assets/img/2018/11/08/pedro-the-lion-charbage_wide-86e7df4323f6547699c03a29edb6c3eba5f1d5df.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/11/20181107_ascvid_pedrothelionpodcast-n.mp4?orgId=1&d=856&p=510292&story=665633439&t=podcast&e=665633439&ft=pod&f=510292
Liniker e os Caramelows,"Liniker e os Caramelows are from Brazil but steeped in the tradition of soul from here in the U.S. Watching this performance is to witness a spell being cast, note-by-note.",Brazil,-14.235004,-51.92528,"Mon, 29 Oct 2018 11:24:00 -0400",54cd841d-bac5-4222-9134-d9b6bfeb7069,https://media.npr.org/assets/img/2018/10/29/liniker-e-os-caramelows_wide-df29ec45dcd2359d80a69b4d1adb5e96b6cd430f.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/10/20181025_ascvid_linikereoscaramelowspodcast_1-n.mp4?orgId=1&d=1132&p=510292&story=661772827&t=podcast&e=661772827&ft=pod&f=510292
Jim James,"A single voice can send a powerful message - and that's just what Jim James did at the Tiny Desk, with just his voice and an acoustic guitar.",Louisville,38.2526647,-85.7584557,"Mon, 29 Oct 2018 11:07:00 -0400",ed980d7f-d8da-4350-9f8a-4baed5919e4f,https://media.npr.org/assets/img/2018/10/29/jim-james-mcook_wide-a7779277dee3b58541fb66130edbea0179ea2851.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/10/20181023_ascvid_jimjamespodcast-n.mp4?orgId=1&d=691&p=510292&story=661765365&t=podcast&e=661765365&ft=pod&f=510292
Chromeo,"The self-proclaimed ""Funklordz"" normally perform as a duo, but played with a live band for the first time at the Tiny Desk.",Montreal,45.5016889,-73.567256,"Mon, 22 Oct 2018 09:37:00 -0400",97838b48-14d1-4302-bae8-bf9887bcd049,https://media.npr.org/assets/img/2018/10/22/chromeo_cpollack_wide-c4db38172ba44b33edf540146927716325c4d20c.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/10/20181018_ascvid_chromeopodcast-n.mp4?orgId=1&d=1082&p=510292&story=659465663&t=podcast&e=659465663&ft=pod&f=510292
Alfredo Rodriguez,The Cuban pianist thrilled the NPR office with an intense performance that was as melodic as it was rhythmic.,La Habana,23.1135925,-82.3665956,"Mon, 22 Oct 2018 09:36:00 -0400",ad15fa01-d9da-4873-81fe-ff22be7f5646,https://media.npr.org/assets/img/2018/10/22/alfredorodrigueztrio_cameron-pollack_wide-dcdd9791dde22a81581b5da066d0b147e86e69a2.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/10/20181017_ascvid_alfredorodriguezpodcast-n.mp4?orgId=1&d=1140&p=510292&story=659465422&t=podcast&e=659465422&ft=pod&f=510292
Cafe Tacvba,The pioneering Mexican band recreates the adventurous musical energy of their massive stadium shows behind Bob Boilen's desk.,Ciudad de Mexico,19.4326077,-99.133208,"Mon, 15 Oct 2018 09:18:00 -0400",7cd7ebc8-d794-4fb7-acd2-8fbea8ca0562,https://media.npr.org/assets/img/2018/10/15/cafe_cpollock_wide-384928c7b1bcbb0d70bfaf8d940f4cb6f2b261bb.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/10/20181011_ascvid_cafepodcast-n.mp4?orgId=1&d=1147&p=510292&story=657460421&t=podcast&e=657460421&ft=pod&f=510292
Big Boi,"The OutKast star performs ""So Fresh, So Clean,"" ""The Way You Move"" and his solo single ""All Night"" with the help of singer Sleepy Brown and an eight-member backing band.",Savannah,32.0808989,-81.091203,"Wed, 10 Oct 2018 10:58:00 -0400",b53b59d3-ac37-439a-b487-4f4a5d7b49e6,https://media.npr.org/assets/img/2018/10/10/bigboi_msmith_wide-d8e9616a5363a7b27a3ec5c6d5e43b43ee6a5159.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/10/20181005_ascvid_bigboipodcast-n.mp4?orgId=1&d=778&p=510292&story=656160476&t=podcast&e=656160476&ft=pod&f=510292
Cecile McLorin Salvant,"The jazz singer, who used to be into radical feminist punk, now composes and sings beautiful jazz ballads.",Miami,25.7616798,-80.1917902,"Tue, 25 Sep 2018 14:07:00 -0400",6a896434-e6a0-4b81-bcb3-25d1358595ae,https://media.npr.org/assets/img/2018/09/25/ce-cilemclorinsalvant-sclark_wide-da36635c985342b443c3526345bcce3601794d64.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/08/20180824_ascvid_cecillepodcast-n.mp4?orgId=1&d=1107&p=510292&story=651497016&t=podcast&e=651497016&ft=pod&f=510292
Anthony Roth Costanzo,"Watch the ambitious countertenor sing music that spans more than 250 years, connecting the dots between David Byrne, George Frideric Handel and Philip Glass.",Durham,35.9940329,-78.898619,"Fri, 21 Sep 2018 10:48:00 -0400",11b92baa-43f2-4aa3-a24e-1027a8948878,https://media.npr.org/assets/img/2018/09/21/anthonycostanzo_msmith_wide-751e99cdfbcdf7954dea99efd1a26bcabd5ebe82.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/09/20180920_ascvid_anthonycostanzopodcast-n.mp4?orgId=1&d=1060&p=510292&story=650438704&t=podcast&e=650438704&ft=pod&f=510292
GoGo Penguin,"This trio has become a reference point of their own for new school instrumentalists, a coveted achievement for any jazz group, though their appeal stretches far outside the jazz ecosystem.",Manchester,53.4807593,-2.2426305,"Mon, 17 Sep 2018 11:54:00 -0400",a3109fd3-957d-4a36-87ac-06de3b93319d,https://media.npr.org/assets/img/2018/09/17/gogopenguin-sclark_wide-b5a2a128ea6a32b7ea9e9a27efc1f1cbf386bf0c.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/09/20180913_ascvid_gogopenguinpodcast-n.mp4?orgId=1&d=1100&p=510292&story=648734286&t=podcast&e=648734286&ft=pod&f=510292
T.I.,"In the fifteen years since he released <em>Trap Muzik</em>, Tip Harris has reinvented himself a thousand times over. But the stories he recounts from that era make his Tiny Desk a memorable one.",Atlanta,33.7489954,-84.3879824,"Mon, 27 Aug 2018 08:57:00 -0400",28d07764-716e-4e5f-ad75-72c18f7d37f8,https://media.npr.org/assets/img/2018/08/27/ti_eattar_wide-837082897d10a8ea0ce292aaf962f17a7127f126.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/08/20180824_ascvid_tipodcast-n.mp4?orgId=1&d=537&p=510292&story=642200400&t=podcast&e=642200400&ft=pod&f=510292
Camp Cope,"The Australian band uses tiny moments of introspection to illuminate life's bewildering, terrifying, isolating aspects — especially as they apply to women.",Melbourne,-37.8136276,144.9630576,"Wed, 22 Aug 2018 14:23:00 -0400",d139260b-bc5a-440e-9551-b9b7986698f3,https://media.npr.org/assets/img/2018/08/22/campcope-eattar1_wide-2e8e4191dd5c24070f773f8a6ef9500784db939f.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/08/20180821_ascvid_campcopepodcastnew-n.mp4?orgId=1&d=821&p=510292&story=640945982&t=podcast&e=640945982&ft=pod&f=510292
Yo-Yo Ma,"Watch the 19-time Grammy winner return to his lifelong passion for J.S. Bach, playing music from the Cello Suites and offering advice on the art of incremental learning.",Paris,48.856614,2.3522219,"Fri, 17 Aug 2018 09:27:00 -0400",b27e8631-547c-4594-80c6-9a1d77ad64fb,https://media.npr.org/assets/img/2018/08/17/yoyoma-sclark_wide-19f433b5ec530ed71c391e145e2abba03d313371.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/08/20180816_ascvid_yoyopodcast-n.mp4?orgId=1&d=744&p=510292&story=638141469&t=podcast&e=638141469&ft=pod&f=510292
Erykah Badu,"The singer's performance at the Tiny Desk was an almost spiritual experience, leaving many at the NPR Music offices in awe.",Dallas,32.7766642,-96.7969879,"Wed, 15 Aug 2018 09:18:00 -0400",287a6ae2-9618-48af-b330-ff16d3c32caf,https://media.npr.org/assets/img/2018/08/15/badu_mns_new_wide-a4a4e590c3294d9858c0cf2f169ba250946680da.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/08/20180813_ascvid_erykahpodcast-n.mp4?orgId=1&d=923&p=510292&story=638841410&t=podcast&e=638841410&ft=pod&f=510292
Tower Of Power,"Even from its beginnings in late-60s Oakland, the band has always stood out. Fifty years later, its devotion to classic horn-driven soul remains unmatched, its passion and precision unchanged.",Oakland,37.8043637,-122.2711137,"Mon, 13 Aug 2018 08:57:00 -0400",57b364e8-1083-456c-821f-7d581df60a05,https://media.npr.org/assets/img/2018/08/13/tower_sclarke_wide-11361b2f6a57325b2d93666d5040473231464a65.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/08/20180810_ascvid_towerpodcast-n.mp4?orgId=1&d=1138&p=510292&story=638140657&t=podcast&e=638140657&ft=pod&f=510292
DAWN,"DAWN has a breathless enthusiasm for shape-shifting pop music. She strips three songs to just the essentials, illuminating the impeccable songwriting behind her wild combination of sounds.",New Orleans,29.9510658,-90.0715323,"Fri, 10 Aug 2018 08:17:00 -0400",41639bb6-019a-41c5-b382-e64c8e46f744,https://media.npr.org/assets/img/2018/08/10/dawn_eattar_wide-14fd49109e6b4890a10c460d224f92ecc1e2ad0e.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/08/20180808_ascvid_dawnpodcast.mp4?orgId=1&d=698&p=510292&story=637425356&t=podcast&e=637425356&ft=pod&f=510292
Mac Miller,"Mac Miller reflects on his journey's peaks and valleys in a boisterous set of songs from <em>Swimming</em>, featuring special guest Thundercat on ""What's the Use?""",Pittsburgh,40.4406248,-79.9958864,"Mon, 06 Aug 2018 15:32:00 -0400",8d7ea534-6aed-40ef-ab1d-4675dd92271b,https://media.npr.org/assets/img/2018/08/06/macmiller_eattar1_wide-0a9de33b0d1339f58d359a04f8363be3aaa465a3.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/08/20180803_ascvid_macmillerpodcast-n.mp4?orgId=1&d=1044&p=510292&story=636086190&t=podcast&e=636086190&ft=pod&f=510292
Haley Heynderickx,One of our favorite new artists of 2018 visits the Tiny Desk.,Stockton,37.9577016,-121.2907796,"Fri, 03 Aug 2018 12:00:00 -0400",cc42f8cb-4d49-4551-9ec2-61bfe1e1b841,https://media.npr.org/assets/img/2018/08/03/haleyheynderickx-elee_wide-474f7e3296bb4ceb44898c81ef94e29922c4b309.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/08/20180802_ascvid_haleypodcast-n.mp4?orgId=1&d=1046&p=510292&story=635325035&t=podcast&e=635325035&ft=pod&f=510292
Lalah Hathaway,The veteran singer showcases her soaring powerfully expressive voice in a performance that bridges several generations of classic soul.,Chicago,41.8781136,-87.6297982,"Wed, 25 Jul 2018 08:59:00 -0400",0f126642-cd46-4062-b068-6b86f59203cd,https://media.npr.org/assets/img/2018/07/25/lalahhathaway-eattar_wide-a12604fc01870a3a50607b7977e7fb087373f252.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/07/20180724_ascvid_lalahpodcast-n.mp4?orgId=1&d=686&p=510292&story=632219462&t=podcast&e=632219462&ft=pod&f=510292
The King's Singers,The storied vocal ensemble brings close harmony singing to a diverse set list that includes a Beatles tune and a bawdy madrigal from the 1500s.,Cambridge,52.205337,0.121817,"Mon, 23 Jul 2018 09:38:00 -0400",592e2c47-66ba-4460-a57d-1057a4eed6b4,https://media.npr.org/assets/img/2018/07/23/kings_eattar_wide-5e2fda2db13769c1d106f40522261e60d62721f3.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/07/20180720_ascvid_kingsandsingerpodcast-n.mp4?orgId=1&d=1078&p=510292&story=631480650&t=podcast&e=631480650&ft=pod&f=510292
Olafur Arnalds,"The Icelandic composer is joined by two ""ghost"" pianists, making mysterious and memorable music at the Tiny Desk.",Mosfellsbaer,64.169426,-21.681345,"Thu, 19 Jul 2018 13:00:19 -0400",cd073b75-d24f-4fbb-ac92-460700f1a378,https://media.npr.org/assets/img/2018/07/19/olafurarnalds-elee_wide-fad2b06a109fe61b0ecff4b9bc0ad7cf7bd06dc7.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/07/20180718_ascvid_olafurarnaldspodcast-n.mp4?orgId=1&d=976&p=510292&story=630475348&t=podcast&e=630475348&ft=pod&f=510292
Mumu Fresh Feat. Black Thought & DJ Dummy,Occasionally a new voice emerges so rich in experience that the only way to describe it is old soul.,Philadelphia,39.9525839,-75.1652215,"Wed, 11 Jul 2018 09:12:00 -0400",65df9a49-c28e-4e16-9cad-c1fba6506cbd,https://media.npr.org/assets/img/2018/07/11/mumu_morgan_wide-b457747e018c84f85fdc0ffeae83a26eff3f69c8.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/07/20180710_ascvid_mumufreshpodcast-n.mp4?orgId=1&d=1416&p=510292&story=627975015&t=podcast&e=627975015&ft=pod&f=510292
PJ Morton,New Orleans' native son brought his musical <em>Gumbo</em> — and a 10-piece orchestra — to the Tiny Desk for some well-seasoned soul and a lesson in creative freedom.,New Orleans,29.9510658,-90.0715323,"Mon, 02 Jul 2018 09:24:00 -0400",51ece4cc-5400-4c7e-925e-f18f86ba53b9,https://media.npr.org/assets/img/2018/07/02/pjmorton-eattar_wide-e109c34bae8899bfba580c377d1ad092ab088a72.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/06/20180629_ascvid_pjmortonpodcast-n.mp4?orgId=1&p=510292&story=625298436&t=podcast&e=625298436&ft=pod&f=510292
Golden Dawn Arkestra,"Join the ""Children of the Sun"" - or sit back and enjoy the spectacle - in this Tiny Desk experience.",Austin,30.267153,-97.7430608,"Fri, 29 Jun 2018 11:07:00 -0400",ff7b6f39-b09c-46bc-9f25-03a9e1c4d78b,https://media.npr.org/assets/img/2018/06/29/goldendawn_eattar_wide-e01ce629c8afc860e0ab7084903c8369a2b0b995.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/06/20180628_ascvid_goldendawnpodcast-n.mp4?orgId=1&p=510292&story=624643583&t=podcast&e=624643583&ft=pod&f=510292
Dave Matthews,"The star sheds his band for a warm, winning, utterly game, happily overstuffed five-song performance of songs from across his long career.",Johannesburg,-26.2041028,28.0473051,"Wed, 27 Jun 2018 10:39:00 -0400",9a54d5d4-36b9-4dbb-9612-8fdebde3f641,https://media.npr.org/assets/img/2018/06/27/davematthews-sclark_wide-021aa7ae0cbb38a9b6964e66cc41acb19252e0ef.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/06/20180626_ascvid_davematthewspodcast-n.mp4?orgId=1&p=510292&story=623847870&t=podcast&e=623847870&ft=pod&f=510292
Rakim,"Watch the New York rap icon perform ""Paid In Full"" and ""Know The Ledge,"" as well as a new song for Marvel's <em>Luke Cage</em>, at the Tiny Desk.",Wyandanch,40.7539878,-73.360398,"Mon, 25 Jun 2018 08:55:00 -0400",ab23c5b9-8835-4c87-b880-644032a92e1b,https://media.npr.org/assets/img/2018/06/25/rakim-eattar_wide-0fec6828abc3f95bd9541963f6bad25f63486bb6.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/06/20180622_ascvid_rakimpodcast-n.mp4?orgId=1&p=510292&story=623150793&t=podcast&e=623150793&ft=pod&f=510292
Khalid,"Watch the 20-year-old star perform acoustic versions of ""Location,"" ""Saved"" and ""Young Dumb & Broke.""",Fort Stewart,31.8690667,-81.6089873,"Mon, 18 Jun 2018 09:46:00 -0400",1f60e998-edc7-4a40-a8e7-1ceeb2dbe857,https://media.npr.org/assets/img/2018/06/18/khalid_eattar_wide-96cdb2bdb8a64d6e233aa63a2c45496b12722d0c.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/06/20180614_ascvid_khalidpodcast-n.mp4?orgId=1&p=510292&story=620994098&t=podcast&e=620994098&ft=pod&f=510292
Trouble Funk,We squeezed 12 go-go musicians behind the Tiny Desk. Watch what ensued.,"Washington, D.C.",38.9071923,-77.0368707,"Wed, 30 May 2018 14:04:00 -0400",8ef6833b-d951-49a8-91bd-d2108db48d68,https://media.npr.org/assets/img/2018/05/30/trouble_eattar_wide-bd924e4106ac94619f9fd4e0406b195f1ac168a2.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/05/20180521_ascvid_troublefunkpodcast-n.mp4?orgId=1&p=510292&story=615440277&t=podcast&e=615440277&ft=pod&f=510292
Third Coast Percussion,"Watch the Chicago-based ensemble conjure otherworldly sounds from steel pipes, tuned cowbells and a bowl that sings.",Chicago,41.8781136,-87.6297982,"Wed, 30 May 2018 09:44:00 -0400",265cb4a5-4bb8-436f-bf0a-3b7843855cb3,https://media.npr.org/assets/img/2018/05/30/thirdcoast_charbage_wide-1af12edc6e6364c001a5d5dcfcc9c6fe948ed5b8.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/05/20180518_ascvid_thirdcoastpodcast-n.mp4?orgId=1&p=510292&story=615437813&t=podcast&e=615437813&ft=pod&f=510292
Juanes & Mon Laferte,The Colombian pop star and Chilean rising star brought their duet tour to the Tiny Desk.,Medellin,6.244203,-75.5812119,"Wed, 30 May 2018 09:26:00 -0400",f7620b47-79e1-4362-ba51-6a2959cd6975,https://media.npr.org/assets/img/2018/05/30/juanes_charbage_wide-8e056d5e2fd1cbf961571288c035608a822a0c94.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4hls.mp4?orgId=1&p=510292&story=615431925&t=podcast&e=615431925&ft=pod&f=510292
GZA & The Soul Rebels,"Most rap fans would name RZA as the head of the Wu-Tang Clan. But Wu purists know that GZA, or The Genius, is the crew's unspoken elder statesman.",Brooklyn,40.6781784,-73.9441579,"Wed, 02 May 2018 13:48:00 -0400",0a987cca-727a-4ebb-9ce5-1d64a80c5fe0,https://media.npr.org/assets/img/2018/05/02/gza_eattar_wide-cb4e7dc21b3192d3aea2983e5a66381dc1563239.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/05/20180502_ascvid_gzapodcast-n.mp4?orgId=1&p=510292&story=607763462&t=podcast&e=607763462&ft=pod&f=510292
Bedouine,"Bedouine is Azniv Korkejian, a singer and guitarist who echoes sounds from the 1960's North American folk songwriters, but with vocal inflections closer to Leonard Cohen than to Joni Mitchell.",Aleppo,36.2021047,37.1342603,"Mon, 30 Apr 2018 12:18:00 -0400",12581350-b89a-4d8f-ac59-6824c505dde9,https://media.npr.org/assets/img/2018/04/27/bedouine_bboilen_wide-18cbf4042f06e0a1174efa7dae736f7ea23803b6.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/04/20180427_ascvid_bedoudinepodcast-n.mp4?orgId=1&p=510292&story=606528205&t=podcast&e=606528205&ft=pod&f=510292
The Breeders,"The Breeders' dreamy scuzz sounds more wizened and frazzled at the Tiny Desk, featuring the same lineup behind the band's breakout, 1993 album <em>Last Splash.</em>",Boston,42.3600825,-71.0588801,"Mon, 16 Apr 2018 09:17:00 -0400",bb6e85d4-5260-4b0e-b632-51036074c051,https://media.npr.org/assets/img/2018/04/11/eattar_breeders_wide-cbb90293ae4b0cc1cf2c29df52c389d5c23a3022.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/04/20180411_ascvid_breederspodcast-n.mp4?orgId=1&p=510292&story=601643591&t=podcast&e=601643591&ft=pod&f=510292
Jorge Drexler,The Uruguayan singer-songwriter is one of the finest lyricists operating today. Watch his stunning performance behind the Tiny Desk.,Montevideo,-34.9011127,-56.1645314,"Mon, 16 Apr 2018 09:16:00 -0400",2c72df91-cd20-4099-98c4-d904062d8a2e,https://media.npr.org/assets/img/2018/04/11/eattar_jorgedrexler_wide-472f3550daaa1008ad988175ba3cf670f9c01146.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/04/20180412_ascvid_jorgedrexlerpodcast-n.mp4?orgId=1&p=510292&story=601643365&t=podcast&e=601643365&ft=pod&f=510292
Rhye,"See the band perform a rare evening Tiny Desk concert, illuminated by flickering lights",Toronto,43.653226,-79.3831843,"Mon, 09 Apr 2018 09:02:00 -0400",59b4cdf1-f2a7-4a47-b627-c8f890eafb82,https://media.npr.org/assets/img/2018/04/06/rhye_eattar_wide-9befcf64b97f905660be7e31e52287d61618f4c0.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/04/20180406_ascvid_rhyepodcast-n.mp4?orgId=1&d=1132&p=510292&story=600177360&t=podcast&e=600177360&ft=pod&f=510292
Dan Auerbach,"The guitarist and singer for The Black Keys and The Arcs brings his Easy Eye Sound Revue to the Tiny Desk, recalling a time and sound from the '60s when southern R&B, including Nashville, was a force.",Akron,41.0814447,-81.5190053,"Wed, 04 Apr 2018 15:07:00 -0400",d9790f7b-d85b-4e08-b77c-b019eaa24531,https://media.npr.org/assets/img/2018/04/03/danauerbach_eattar_wide-f3da09b0b432666d971e18b0aa7735d841f409de.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/04/20180404_ascvid_danauerbachpodcastrev2-n.mp4?orgId=1&p=510292&story=599131026&t=podcast&e=599131026&ft=pod&f=510292
Dee Dee Bridgewater,"Bridgewater connects with her roots, her birthplace and the town she's loved all her life, with a set of songs from Memphis.",Memphis,35.1495343,-90.0489801,"Tue, 03 Apr 2018 09:31:00 -0400",d969562e-d6df-4bab-86cf-fa7c821f0cdc,https://media.npr.org/assets/img/2017/12/12/deedee_charbage_wide-34361b4bf01723e1cf57a5e30f061a48cc198246.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/04/20180404_ascvid_deedeebridgewaterpodcastrev2-n.mp4?orgId=1&d=903&p=510292&story=570165656&t=podcast&e=570165656&ft=pod&f=510292
Masta Ace,"The Juice Crew legend brought his biggest hit, ""Born To Roll,"" and a heartfelt recollection of his personal journey to the Tiny Desk.",Brownsville,25.9017472,-97.4974838,"Tue, 03 Apr 2018 09:20:00 -0400",c7bb4170-14a3-4723-a10d-f0a537135376,https://media.npr.org/assets/img/2018/03/28/mastaace_eattar_wide-f120b797445a2b12a953f1b4615ae37998781f28.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/04/20180404_ascvid_mastaacepodcastrev2-n.mp4?orgId=1&d=1057&p=510292&story=597589052&t=podcast&e=597589052&ft=pod&f=510292
Cornelius,"Cornelius' Keigo Oyamada deconstructs and reassembles music like it's a neon cubist-pop sculpture. On a rare U.S. tour, the Japanese band brought its complex cool to the Tiny Desk.",Setagaya,35.6465615,139.6532924,"Mon, 19 Mar 2018 09:49:00 -0400",dc5b9dac-ef39-43ee-bab5-ceaccbd7c3c9,https://media.npr.org/assets/img/2018/03/16/cornelius_jsterner3_wide-b35c90c763f404a300d3dd1876ef0dcc811f3487.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/04/20180404_ascvid_corneliuspodcastrev2-n.mp4?orgId=1&d=974&p=510292&story=594261046&t=podcast&e=594261046&ft=pod&f=510292
Raul Midon,"Raul Midón brought nothing but a guitar and his voice to an extended Tiny Desk set of dense, breathtaking jazz and soul textures.",Embudo,36.2075228,-105.9611318,"Thu, 15 Mar 2018 09:22:00 -0400",f6b88646-4faa-408c-8942-1636a1b82b18,https://media.npr.org/assets/img/2018/03/14/raulmidon_jsterner_wide-fe375aa48a8f519c575ad410be2793f804054e6a.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/04/20180404_ascvid_raulmidonpodcastrev2-n.mp4?orgId=1&d=1411&p=510292&story=593473747&t=podcast&e=593473747&ft=pod&f=510292
